Feature,Importance
aa,1.8572590044660937
oo,1.683203098143311
ij,1.348568158988107
so,1.3038648709830183
sa,1.2850597387061433
oe,1.2517580698700737
st,1.249718395875469
ka,1.1433612910336202
ee,1.1348073105530996
ui,1.1130539751665158
en,1.1090205010073282
nk,1.1089361351940712
 ,1.0659921557647962
ten,1.025600127658685
son,0.9954888427592015
ns,0.9821504177806111
ki,0.9678611774946831
roo,0.9629353428050943
an,0.9524581849336967
nse,0.9220908718677224
uw,0.9175213798585421
ba,0.9075956402960232
er,0.8997595170285754
ne,0.8937757879058853
cho,0.8924849565535836
oni,0.8592155473174966
sen,0.8566502376101639
ans,0.841455399526612
ker,0.8408449083689957
els,0.8267077198330708
ta,0.8207355932223389
dir,0.8204152819567209
kl,0.8166819469674954
ho,0.8143354391436084
eb,0.8065907321145106
app,0.8048023972241544
ra,0.7943817026724729
lle,0.7867867675915535
ri,0.7809801907929916
sso,0.775980087806765
gel,0.7739289469820557
len,0.7731936301850582
wil,0.7715111787062988
lt,0.7691858133442234
go,0.758840304399092
ts,0.7525811139476744
olt,0.7507174862486181
bo,0.7406358320364461
di,0.7319943510293416
sk,0.7250159715894335
un,0.7231280947516102
baa,0.7222350070425598
ll,0.7219737628556285
rk,0.7201329376442409
ell,0.7195712298373683
ive,0.7194372124513686
iv,0.7194372124513686
ae,0.7169402637593683
der,0.7120578394290127
om,0.7085096470895188
ng,0.7014628427796682
s,0.6997360393085906
ö,0.6981760411635788
van,0.6904891840288487
od,0.6885540300673557
rs,0.6882446250597244
ey,0.681458650406387
nis,0.675877772405446
uwe,0.6732981815832393
to,0.6718451474920036
e ,0.6711259514334753
de ,0.6711259514334753
ips,0.670710498367349
ma,0.6695218809659459
wi,0.6493863650870562
rnt,0.6485071053035961
fe,0.6423565367197213
kra,0.6408803806981007
ç,0.6405595903848098
kle,0.6354185731559356
sl,0.6348452409620883
ü,0.632216074652316
oor,0.6316470526229584
at,0.629590668128853
uin,0.6277845526311072
sn,0.6262301893048859
ru,0.6256053986176131
ko,0.6245135511085803
ebe,0.6120396117355134
lem,0.6050163172016887
ems,0.6050163172016887
aes,0.5973348398434289
men,0.5966816617300249
km,0.5960950605236788
hte,0.5960709402923747
las,0.5949620033663161
gla,0.5949620033663161
n ,0.5924296294787514
ric,0.5898639743714557
bul,0.5894068316641851
an ,0.5893140664473173
nn,0.58847293416755
g,0.5833537318023546
sse,0.5797145261364106
chu,0.5712618627971334
mi,0.5706949340577898
dri,0.5677492308164964
dr,0.5656489195096488
li,0.5651612314683322
rin,0.5588172204141828
rom,0.5582974404193556
no,0.5570409101018121
iss,0.5565466134018948
ow,0.5511387072662314
i,0.5507252715654576
nif,0.5484935087280083
if,0.5484935087280083
ift,0.5484935087280083
ema,0.5467529402576523
ob,0.5464182043970205
nte,0.5459833702130582
wal,0.5442552528973695
se,0.5433975560464837
saa,0.5417270617112002
rr,0.5412171005016813
gro,0.5411246283921362
sp,0.5360615468891776
lf,0.533744358753088
kma,0.5332515669513677
í,0.5329047586787115
